09-15 10:15:16.708: I/MainActivity(17414): onCreate(savedInstanceState=null
09-15 10:15:16.747: I/CategoryListFragment(17414): onCreateView(savedInstanceState=null)
09-15 10:15:16.755: I/CategoryListFragment(17414): onActivityCreated(savedInstanceState=null)
09-15 10:15:16.794: D/libEGL(17414): loaded /system/lib/egl/libGLES_android.so
09-15 10:15:16.802: D/libEGL(17414): loaded /vendor/lib/egl/libEGL_POWERVR_SGX540_120.so
09-15 10:15:16.810: D/libEGL(17414): loaded /vendor/lib/egl/libGLESv1_CM_POWERVR_SGX540_120.so
09-15 10:15:16.817: D/libEGL(17414): loaded /vendor/lib/egl/libGLESv2_POWERVR_SGX540_120.so
09-15 10:15:16.888: D/OpenGLRenderer(17414): Enabling debug mode 0
09-15 10:15:23.435: I/CategoryListFragment(17414): onListItemClick(position=2,id=2)
09-15 10:15:23.435: I/CategoryListFragment(17414):   newsList fragment is already created.
09-15 10:15:23.435: I/NewsListFragment(17414): onCreateView(savedInstanceState=null)
09-15 10:15:23.435: D/AndroidRuntime(17414): Shutting down VM
09-15 10:15:23.442: W/dalvikvm(17414): threadid=1: thread exiting with uncaught exception (group=0x40a641f8)
09-15 10:15:23.442: E/AndroidRuntime(17414): FATAL EXCEPTION: main
09-15 10:15:23.442: E/AndroidRuntime(17414): java.lang.IllegalStateException: The specified child already has a parent. You must call removeView() on the child's parent first.
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.view.ViewGroup.addViewInner(ViewGroup.java:3337)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.view.ViewGroup.addView(ViewGroup.java:3208)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.view.ViewGroup.addView(ViewGroup.java:3165)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.view.ViewGroup.addView(ViewGroup.java:3145)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.app.FragmentManagerImpl.moveToState(FragmentManager.java:839)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.app.FragmentManagerImpl.moveToState(FragmentManager.java:1032)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.app.BackStackRecord.run(BackStackRecord.java:622)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.app.FragmentManagerImpl.execPendingActions(FragmentManager.java:1382)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.app.FragmentManagerImpl$1.run(FragmentManager.java:426)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.os.Handler.handleCallback(Handler.java:605)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.os.Handler.dispatchMessage(Handler.java:92)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.os.Looper.loop(Looper.java:137)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at android.app.ActivityThread.main(ActivityThread.java:4424)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at java.lang.reflect.Method.invokeNative(Native Method)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at java.lang.reflect.Method.invoke(Method.java:511)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:784)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:551)
09-15 10:15:23.442: E/AndroidRuntime(17414): 	at dalvik.system.NativeStart.main(Native Method)
